title,description,author,date
Imran Khan criticised for rape 'victim blaming',"Pakistan's prime minister said women should cover up to avoid ""temptation"".",,4/7/2021 19:28
Hunting rare birds to feed the sex drive of princes,"A glimpse into the closed world of hunts for houbara bustards, thought by some to be an aphrodisiac.",By Saher Baloch,3/28/2021 5:22
'I'm going to follow in my sister's footsteps',,,3/23/2021 19:37
Dying nurse told sister 'follow in my footsteps',Areema Nasreen was one of the youngest NHS workers to die of Covid-19 at the start of the pandemic.,By Rebecca Woods,3/21/2021 12:31
Death sentence for Pakistan motorway rape pair,Abid Mehli and Shafqat Ali raped a woman stranded on a motorway in front of her children last year.,,3/21/2021 4:10
Pakistan's PM Imran Khan tests positive for Covid,The 68-year-old was vaccinated two days ago and is said to be isolating at home.,,3/20/2021 16:02
Row over 'spy cameras' in Pakistan polling booth,An election in Pakistan's Senate is disrupted as opposition politicians say they found spy cameras.,,3/12/2021 23:15
"Abducted, shackled and forced to marry at 12","Up to 1,000 Christian, Hindu and Sikh girls are abducted in Pakistan every year, then forced to convert to Islam, and to marry.",By Mike Thomson,3/10/2021 5:44
Bangladesh's first transgender news reader debuts,Tashnuva Anan Shishir told the BBC she faced bullying and harassment but was determined to succeed.,,3/9/2021 17:45
Mourning the sisters killed as they taught handicrafts,Ayesha and Irshad were breadwinners in a former Pakistani tribal area where militancy is rising again.,By Azizullah Khan,2/27/2021 5:57
Student wants top award to 'inspire other girls',"Esha Mumtaz, who ""started from square one"" after moving to the UK, becomes Young Student of the Year.",,2/25/2021 22:55
Councillor suspended over 'Covid-breach wedding',Manchester Labour councillor Aftab Razaq allegedly flew to Pakistan and attended the celebration.,By Rahila Bano,2/19/2021 23:02
A guide to the Pakistan Super League,The PSL begins on Saturday when defending champions Karachi Kings face Quetta Gladiators.,,2/19/2021 14:46
A 5-second video brings India and Pakistan together,"Pakistan's Dananeer Mobin, 19, has got two countries that usually see tense relations, ready to ""pawri"" (party).",,2/19/2021 10:15
The hero mountaineer who never came back from K2,Mohammad Ali Sadpara will be remembered as a versatile climber who was revered in his native Pakistan.,By M Ilyas Khan,2/19/2021 7:52
"Malala Yousafzai, activist",,,2/17/2021 22:58
British activist held in Pakistan over UK speech,"Yousaf Ali Khan faces trial on charges of sedition over remarks made in London alleged to be ""anti-state"".",,2/17/2021 17:09
NI climber abandons deadly K2 summit attempt,Noel Hanna was hoping to become the first person from the island of Ireland to climb the peak in winter.,,2/8/2021 16:51
Pakistan beat South Africa to seal series,Pakistan complete a 2-0 series clean sweep over South Africa with a 95-run win in the second Test in Rawalpindi.,,2/8/2021 15:19
South Africa in Pakistan 2021,"Fixtures, results and scorecards from South Africa's first tour of Pakistan for 13 years, featuring two Tests and three Twenty20 internationals.",,2/8/2021 15:02
SA fight back after Rizwan century,Mohammad Rizwan scores his maiden Test century but South Africa fight back against Pakistan to leave the second Test intriguingly poised.,,2/7/2021 18:27
Could a banned film make the Oscars shortlist?,,,2/5/2021 19:21
Will Pakistan get Covid vaccines from India?,"India has begun supplying vaccines to many countries, but next-door rival Pakistan is not among them.",By Soutik Biswas,1/29/2021 5:05
US 'outraged' over acquittals in Daniel Pearl case,The American journalist was abducted and beheaded while working on a story in Pakistan in 2002.,,1/29/2021 4:57
Men accused of murdering Daniel Pearl acquitted,The Wall Street Journal journalist was kidnapped and beheaded while working on a story in Pakistan.,By Secunder Kermani,1/28/2021 18:43
Remembering Daniel Pearl's murder,,,1/28/2021 17:20
Pakistani fans laud India for historic cricket win,India's unlikely victory over Australia wins praise from neighbouring fans in a rare show of goodwill.,,1/20/2021 18:57
Conquering K2 in winter 'together',,,1/19/2021 5:05
Nepali climbers make history with K2 winter summit,"Until now, K2 was the only mountain higher than 8,000m not to be conquered in winter.",,1/16/2021 23:02
Taliban cracks down on 'costly' polygamy,"The group's leader in Afghanistan says the practice is ""inviting criticism"". It's also proving expensive.",By Khudai Noor Nasar,1/15/2021 5:02
Can Pakistan protect its religious minorities?,The destruction of a sacred shrine by a mob has left Pakistan's Hindu minority feeling vulnerable.,By M Ilyas Khan,1/12/2021 5:32
Pakistan power cut plunges country into darkness,Electricity is gradually being restored after a huge outage triggered by a power station fault.,,1/10/2021 16:46
Pakistan jails suspected Mumbai attack leader,Zakiur Rehman Lakhvi is sentenced to five years for terror financing.,,1/8/2021 18:36
Pakistan court outlaws 'virginity tests',"A Lahore court rules that ""two-finger"" tests in rape cases are ""humiliating"" and unscientific.",By M Ilyas Khan,1/5/2021 15:56
Pakistan coal miners killed in IS attack,"The miners, who were members of a minority Shia community, were kidnapped by militants and killed.",,1/4/2021 1:58
'We need to learn life lessons from this',,,12/30/2020 5:04
Man accused of Daniel Pearl murder to be freed,Omar Sheikh was acquitted earlier this year of murdering the US journalist in Pakistan in 2002.,,12/25/2020 1:14
Pakistani activist was a 'mountain of courage',"Karima Baloch was found dead in Toronto. Her family says she never stopped getting threats, even in exile.",by Flora Drury & BBC Urdu,12/24/2020 17:35
Pakistani rights activist found dead in Toronto,"Karima Baloch, who was living in exile, was named in the BBC's annual list of 100 inspirational women.",,12/22/2020 19:23
'Savage Mountain' awaits unprecedented winter climb,Two European climbers set off this week in an attempt to scale the winter summit of K2.,By Stephen McGrath,12/21/2020 5:08
Amir retires from Pakistan duty at 28,"Pakistan pace bowler Mohammad Amir says he has had ""shabby treatment"" from the Pakistan management.",,12/17/2020 17:10
The birth of Bangladesh,,,12/16/2020 23:53
New anti-rape law comes into force in Pakistan,The measure aims to speed up convictions and includes chemical castration for rapists.,,12/15/2020 17:55
The dead professor and the vast pro-India network,"A Harvard icon and fake media have been used in a global campaign to serve Indian interests, research reveals.",By Abid Hussain & Shruti Menon,12/10/2020 13:31
Cher 'amazed' at lonely elephant rescue,,,12/10/2020 0:42
Covid patients die due to hospital oxygen shortage,"The Pakistan hospital runs out of oxygen for hours, with patients' relatives 'begging' staff to help.",,12/7/2020 11:59
Ishaq Dar: Pakistan's power struggle,,,12/5/2020 18:39
Ishaq Dar: Everything is accounted for,,,12/2/2020 17:42
'World's loneliest elephant' arrives in Cambodia,"Kaavan was rescued from a life of misery in a Pakistani zoo, with some help from the pop star Cher.",,11/30/2020 18:36
The popstar and the rescue of a lonely elephant,,,11/29/2020 19:19
The world's loneliest elephant is finally going free,"For decades, Kaavan performed from his lonely enclosure. Now, with a hand from Cher, he's retiring.",By M Ilyas Khan,11/28/2020 5:41
‘The hero cannot be someone who is abusive’,,,11/27/2020 16:28
Pakistan cricketers test positive in New Zealand,"The whole squad is quarantined following six positives, after some members ""contravened protocols"".",,11/26/2020 12:48
Imran Khan's opponents seek end to 'puppet' rule,Protesters in Pakistan say the PM came to power in rigged elections backed by the military.,By M Ilyas Khan,11/24/2020 19:58
The judge who stood up to an all-powerful military,Justice Waqar Ahmad Seth was a rare judge in Pakistan who challenged the military.,By M Ilyas Khan,11/20/2020 5:17
Karachi beat Lahore to win PSL title,Karachi Kings win their first Pakistan Super League with a five-wicket victory over Lahore Qalandars in the final.,,11/18/2020 0:14
Pakistan 'to boycott French goods' over cartoons,Islamist protesters claim the government has endorsed a boycott of French products.,,11/17/2020 20:44
Fears grow for British man detained in Pakistan,Tanveer Ahmed Rafique returned to Pakistan-administered Kashmir where he has campaigned for independence.,By Secunder Kermani,11/13/2020 5:08
Zimbabwe in Pakistan 2020,"Results and scorecards from Zimbabwe's limited-overs tour of Pakistan, featuring three ODIs and three Twenty20 internationals.",,11/10/2020 23:37
Teen girl 'rescued' from forced marriage in Pakistan,A judge had earlier ruled that the 13-year-old willingly entered the marriage with a 44-year-old.,,11/3/2020 13:52
The feminist show applauded abroad but banned at home,A web series faces backlash in Pakistan for its bold subject matter and stereotype-smashing female leads.,By Waseem Mushtaq,11/2/2020 5:08
Were Pakistani MPs chanting 'Modi' in parliament?,Media reports said the Indian prime minister's name was used during a vote in Pakistan's parliament.,By Shruti Menon,10/29/2020 19:36
Pakistan school holds prayers hours after bombing,"Staff at the seminary said they wanted to show they ""weren't defeated"" by the fatal attack.",,10/28/2020 15:46
Meet the snooker champion who plays without arms,,,10/28/2020 3:32
At least seven dead in Pakistan school attack,"Dozens more were injured in the attack during a Koran class in the city of Peshawar, police say.",,10/27/2020 13:12
Pakistan's first metro line opens in Lahore,The Chinese-built line will slash journey times across the notoriously congested city by two thirds.,,10/26/2020 20:47
Pakistan asks Facebook to ban Islamophobic content,"It comes a day after Imran Khan accused French President Emmanuel Macron of ""attacking Islam"".",,10/26/2020 14:38
US election unites Indian and Pakistani diaspora,The countries share a hostile history but in the US the election campaign has brought them together.,Vineet Khare ,10/26/2020 6:08
Brothers play tabla to the BBC theme tune,,,10/23/2020 23:45
India buzzes with fake news of 'civil war' in Pakistan,"Who was behind rumours that police and troops were fighting in Karachi, and what was the motive?",By Abid Hussain,10/23/2020 4:08
Eleven women killed in visa stampede,Chaos broke out when thousands gathered in a stadium in Afghanistan to apply for visas to Pakistan.,,10/21/2020 19:06
Separated twins return home,,,10/19/2020 22:24
Pakistan foils falcon smugglers,,,10/17/2020 19:34
Pakistan foils bid to smuggle endangered birds,The falcons are on the endangered species list and are said to be worth almost £1m.,,10/17/2020 19:32
Misbah steps down as Pakistan selector,Misbah-ul-Haq stands down as Pakistan's chief selector but will continue as head coach.,,10/14/2020 16:35
Above normal rainfall for this year's monsoon,,,10/3/2020 16:18
Above normal rainfall for this year's monsoon,,,10/1/2020 20:40
Pakistan to save ruined homes of Bollywood greats,"The houses belonged to the families of two stars of yesteryear, Raj Kapoor and Dilip Kumar.",By M Ilyas Khan,9/28/2020 21:19
Polio campaigners battle misinformation and distrust,,,9/25/2020 4:28
Two to hang for Karachi garment factory inferno,"The men were found guilty of starting Pakistan's deadliest industrial fire, killing 260 people.",,9/22/2020 18:32
Pakistan seethes over victim-blaming of gang-raped mother,A police chief's comments spark an unprecedented backlash after a woman was raped in front of her children.,,9/19/2020 5:17
Pakistan bans 'immoral' Tinder and Grindr apps,Extra-marital relationships and homosexuality are illegal in the country.,,9/2/2020 15:14
Karachi floods turn roads into rivers,,,8/28/2020 12:54
"Yasir, Shan and Naseem on bubble life","As the third Test against England starts, Pakistan's Yasir Shah, Naseem Shah and Shan Masood speak about life in the cricket bubble, facing James Anderson and more.",,8/21/2020 9:59
Youthful Pakistan appears to avoid worst of pandemic,"Testing in Pakistan has been low, but the country seems to have suffered less than its neighbours.",By Secunder Kermani,8/21/2020 4:06
Doctor misses family funeral over visa delay,Dr Muhammad Aamir Shahzad was unable to attend his uncle's funeral after a delay in renewing a visa.,,8/19/2020 19:53
‘Babar needs to become a match-winner',"Babar Azam must ""become a match-winner"" before he can be compared to Joe Root or Virat Kohli, says ex-Pakistan all-rounder Shahid Afridi.",By Kal Sajad,8/12/2020 17:57
No reason not to tour Pakistan - Mani,"England's next away series against Pakistan will not take place in a neutral country, according to Pakistan Cricket Board chairman Ehsan Mani.",By Stephan Shemilt,8/6/2020 18:55
"Bowling at 100mph, sledging Flintoff & injuring Yuvraj","Former Pakistan cricketer Shoaib Akhtar, the quickest bowler in history, reflects on breaking the 100mph barrier, sledging the opposition and much more.",,8/5/2020 10:16
Middle-class students fighting for a homeland dream,Shahdad Mumtaz died for his beliefs. Could a missing student also end up waging war on the Pakistani state?,By M Ilyas Khan,7/31/2020 4:16
'We're not ready for another surge',,,7/30/2020 4:13
Gunman shoots blasphemy accused dead in court,The victim was in court in the Pakistani city of Peshawar to face charges of claiming to be a prophet.,By Secunder Kermani,7/29/2020 19:59
Akmal suspension halved after appeal,"Pakistan batsman Umar Akmal's three-year suspension for failing to report corrupt approaches is halved to 18 months, following an appeal.",,7/29/2020 16:51
Working 24-hour shifts as an ambulance driver in Karachi,,,7/27/2020 17:30
'My father was taken and I don't know why',Unknown men put a bag over Idris Khattak's head and took him from his car on a highway interchange.,By Saira Asher,7/24/2020 4:22
Anger as video shows Pakistan reporter's abduction,"Matiullah Jan, a prominent critic of the military, was missing for hours, but is now back home.",By M Ilyas Khan,7/22/2020 9:19
Shah takes five in Pakistan warm-up,Teenage fast bowler Naseem Shah completes five-wicket haul on day two of Pakistan's four-day intra-squad warm-up in Derby.,,7/18/2020 22:58
The doctors saving lives in two countries,"From his laptop in Essex, Dr Tahir Akhtar is advising Pakistani doctors on treating coronavirus patients.",By Secunder Kermani,7/10/2020 4:49
Sikh pilgrims in deadly Pakistan train crash,At least 21 die as an express train hits a van carrying the pilgrims near the city of Lahore.,,7/3/2020 19:01
Sky is the limit for Pakistan's metal artist,"He trained in electrical engineering, but Nasim Yousufzai's life is about metal sculptures and creations.",By M Ilyas Khan,7/3/2020 4:23
Six players to join Pakistan squad,Six more Pakistan players will join the touring squad in England after testing negative for coronavirus.,,7/1/2020 15:41
Deadly gun attack on Pakistan stock exchange,"Four armed men storm the financial hub in Karachi, killing three people before being shot dead.",,6/29/2020 20:20
Footage shows aftermath of deadly Pakistan attack,,,6/29/2020 15:22
Outcry after Imran Khan calls Bin Laden a 'martyr',"Pakistan's opposition rounds on PM Imran Khan, who said the US ""martyred"" the 9/11 mastermind.",,6/26/2020 15:02
Pakistani pilots grounded over 'fake licences',Pakistan's aviation minister said a large number of pilots cheated in exams or have fake qualifications.,,6/25/2020 22:24
Pakistan plane crash was 'human error',An initial report into the disaster - which killed 97 people - blames the pilots and controller.,,6/24/2020 17:33
Ten Pakistan players test positive,"Seven more Pakistan players set to tour England test positive for coronavirus, taking the total to 10.",By Stephan Shemilt,6/23/2020 23:10
India expels dozens of Pakistani diplomatic staff,Relations between the countries are tense after two Indian diplomatic staff were allegedly mistreated.,,6/23/2020 21:30
Pakistan trio test positive for coronavirus,Three members of the Pakistan squad set to tour England this summer test positive for coronavirus.,,6/22/2020 22:16
Three convicted for London murder of Pakistan exile,A Pakistani court hands down life sentences to three men accused of killing Imran Farooq,,6/18/2020 19:15
'Muslim Game of Thrones' breaks viewing records,"Turkish drama Dirilis Ertugrul is hugely popular in Pakistan, but its violence has been criticised.",By Shayista Farooqi,6/16/2020 4:11
Pakistan holds Indian employees over 'hit-and-run',Reports say a pedestrian was critically injured and the two High Commission employees tried to flee.,,6/15/2020 23:25
Afridi tests positive for coronavirus,Former Pakistan captain Shahid Afridi reveals he has tested positive for coronavirus.,,6/13/2020 14:57
Couple held in jail over child maid torture death,"A Pakistan couple is accused of beating a seven-year-old child to death, reportedly for letting parrots escape.",By M Ilyas Khan,6/12/2020 16:56
Donkey released after Pakistan gambling arrests,A donkey was held for four days after police swooped on a planned race in rural Pakistan.,By M Ilyas Khan,6/11/2020 17:40
Locust collection scheme after crops destroyed,,,6/10/2020 16:50
Pakistani nationals arrested after Mozambique boat saga,,Jose Tembe,6/9/2020 19:22
"Rumours, fear and rising Covid deaths in Pakistan",Doctors face stretched resources and tensions raised by conspiracy theories as the lockdown is eased.,By Secunder Kermani,6/5/2020 4:06
Blasphemy death row couple's plea for freedom,Shagufta Kausar and Shafqat Emmanuel hope judges in Pakistan will overthrow their 2014 conviction.,By Secunder Kermani,6/3/2020 14:16
China and India face off on the roof of the world,Tensions in the Himalaya have the potential to escalate as they pursue their strategic goals.,By Anbarasan Ethirajan and Vikas Pandey,5/30/2020 4:02
"An actress assaulted, an angry wife and a viral video",Uzma Khan was beaten by three rich women and their guards. Why is this not a headline in Pakistan?,By M Ilyas Khan,5/29/2020 18:01
India combats locust attack amid Covid-19 pandemic,An invasion by desert locusts has hit large swathes of India and Pakistan in the middle of pandemic.,By Soutik Biswas,5/26/2020 15:11
Model presumed dead abused online after jet crash,"Zara Abid, 28, was being mourned by friends and family, but then trolls began abusing her legacy online.",By Saira Asher,5/26/2020 10:25
'All I could see was fire' - Pakistan plane survivor,At least 97 people have died after a plane hit a Karachi residential area as it tried to land.,,5/23/2020 16:52
Dozens die as Pakistan jet crashes into homes,At least 76 people die - but two passengers survive - as the PIA plane hits a Karachi residential area.,,5/23/2020 0:40
Pakistan airliner crashes in Karachi,,,5/22/2020 20:46
Man arrested for 'murdering cousins over video',"The 52-second video was reportedly shot nearly a year ago, but went viral a few weeks ago.",,5/21/2020 12:32
Man who kissed murdered girls in video arrested,Police in Pakistan also detained two others believed to be involved in the teenagers' killings.,,5/19/2020 17:01
Pakistan girls murdered over phone video footage,The teenage Pakistani girls were reportedly killed by a relative after video showed them with a man.,,5/17/2020 22:53
A super-spreading funeral that led to three deaths,"Before the lockdown, many mourners at a funeral in Bradford became infected with Covid-19, and three died.",,5/17/2020 5:04
'I just want to go back to my family',"For decades, migrant workers built the economies of the Gulf, but Covid-19 has left them stranded.",By Sameer Hashmi,5/16/2020 4:44
"India, Pakistan to make drug to 'fight coronavirus'",The deal between Gilead and companies in South Asia will help make the drug for 127 countries.,,5/14/2020 12:21
Indian forces kill top Kashmir militant,Riyaz Naikoo had taken over command of the banned Hizbul Mujahideen group in the disputed region.,,5/6/2020 15:15
Parents of Daniel Pearl launch appeal in Pakistan,The US journalist was murdered in 2002 while investigating Islamist militants in Karachi.,,5/3/2020 12:53
Swedish police find body of Pakistani journalist,Sajid Hussain fled Pakistan for Sweden in 2012 after receiving death threats connected to his work.,,5/1/2020 19:55
Pakistan's Akmal banned for three years,Pakistan batsman Umar Akmal is banned from all cricket for three years for failing to report corrupt approaches.,,4/27/2020 18:14
Pakistan legend Mir quits internationals,"Former captain Sana Mir, Pakistan's most-capped female cricketer, says it is ""the right time"" to retire from internationals after a 15-year career.",,4/25/2020 15:33
Coronavirus: How will the developing world cope?,,,4/23/2020 4:26
Coronavirus: How will the developing world cope?,,,4/23/2020 4:17
How 2am WhatsApp message led to PSL postponement,The Doosra podcast returns with the story of how the Pakistan Super League was abruptly curtailed by the outbreak of coronavirus.,,4/16/2020 20:45
South Asia faces worst economic growth in 40 years,The World Bank has slashed its growth predictions for the South Asia region due to the coronavirus.,,4/13/2020 11:19
Coronavirus stokes Pakistan doctors' anger,A photograph of the president in PPE has further inflamed tensions during the coronavirus crisis.,By M Ilyas Khan,4/10/2020 19:41
The porous borders where the virus cannot be controlled,People surging unmonitored over borders in a volatile part of the world has sparked dire warnings.,By Saira Asher,4/9/2020 7:24
Mother of five killed by Covid-19,"Shabnum Sadiq, 39, was a councillor in Slough and had five children, including quadruplets.",,4/7/2020 17:50
No release for man acquitted of Daniel Pearl murder,Pakistani officials refuse to release the British-born militant convicted of beheading Daniel Pearl in 2002.,,4/3/2020 17:35
Pakistan imposes curfew to curtail Friday prayers,Sindh province bans all public movement between 1200-1500 to stop people congregating at mosques.,By M Ilyas Khan,4/3/2020 14:46
Mourners 'arrested and quarantined' in Pakistan,A British GP says his relatives were detained after his mother died having contracted coronavirus.,,4/2/2020 20:45
Pakistan cuts sentence over US journalist murder,British-born Ahmed Omar Saeed Sheikh was convicted of beheading Daniel Pearl in 2002.,,4/2/2020 15:52
The group blamed for new Covid-19 outbreak in India,Hundreds of new coronavirus cases have been linked to a conference held by the Tablighi Jamaat in Delhi.,,4/2/2020 9:59
Fears for Pakistani journalist missing in Sweden,Sajid Hussain went into self-imposed exile in 2012 after receiving death threats connected to his work.,,3/31/2020 20:54
Son 'stuck in' Pakistani orphanage in pandemic,Ashar had to be left behind in Pakistan while his parents sought medical help for his brother.,By Rachel Flint,3/28/2020 5:06
"'We can't see it, but everyone is terrified'",Fighting the virus is hampered by crowded living conditions and a struggling healthcare system.,By Secunder Kermani,3/27/2020 5:01
Festival held in the shadow of coronavirus,Iran's actual death toll is feared to be higher and its neighbours are braced for worse to come.,By Secunder Kermani,3/20/2020 7:21
Why a media mogul was arrested in Pakistan,The detention of Jang group's editor-in-chief by an anti-corruption agency prompts deep concern.,By M Ilyas Khan,3/13/2020 20:46
Sisters aim to raise awareness of 'honour hate',"They say they faced a backlash for wearing skirts due to ""deeply ingrained cultural pressures"".",,3/13/2020 5:51
Killer filmed showing police murder weapon,,,3/12/2020 22:55
'Zainab's law' aims to catch child abusers,Pakistan legislates two years after the murder of a girl of seven prompts a debate on child abuse.,By M Ilyas Khan,3/12/2020 17:25
Fighter jet crashes near Islamabad park,The F-16 military aircraft crashed in the Pakistani capital during a rehearsal for a military parade.,,3/11/2020 16:57
Pakistan on knife edge over women's march,"Aurat March faces an online backlash, violent threats and court petitions to try to stop it.",By Saira Asher,3/7/2020 5:17
Asia Bibi: I always believed I would be freed,The Pakistani Christian woman acquitted of blasphemy after years on death row says she hopes to one day return to Pakistan.,,2/29/2020 3:00
"Asia Bibi: 'I kept thinking, what is happening to me?'",,,2/29/2020 3:00
Extradited murder suspect appears in court,Akhtar Javeed was killed during a botched robbery at his Digbeth warehouse in 2016.,,2/28/2020 19:56
China may deploy ducks to battle with locusts,"The hungry ducks could be sent to eat the insects that are devouring crops in Pakistan, experts say.",,2/27/2020 21:31
Who are the Taliban?,BBC News looks at the history of the Taliban movement in Afghanistan and Pakistan.,,2/27/2020 18:43
Teenager's remains found in Pakistan lion enclosure,Muhammad Bilal's relatives said he went missing while searching for grass to use as cattle fodder.,,2/27/2020 4:21
"Coronavirus: Five countries, five responses",,,2/26/2020 21:32
India holds woman for chanting pro-Pakistan slogan,The woman was at a protest against a citizenship law that critics say discriminates against Muslims.,,2/21/2020 11:26
